feature,lag_days,correlation,n
precipitation_90d_sum_mm,102,0.24426264662338845,9395
runoff_60d_sum_mm,95,0.18661850173584235,9402
runoff_90d_sum_mm,79,0.18002414087437169,9418
runoff_mm_day,1,-0.1993916849308208,9496
runoff_30d_sum_mm,0,-0.21632307903748627,9497
runoff_14d_sum_mm,0,-0.2398247102312284,9497
runoff_7d_sum_mm,0,-0.24351055102287686,9497
precipitation_60d_sum_mm,0,-0.25288397637978866,9497
precipitation_mm_day,1,-0.26048808324139566,9496
reference_et_mm_day,132,-0.2680051793682178,9365
et_30d_mean_mm_day,125,-0.28630763664407083,9372
et_60d_mean_mm_day,109,-0.2903836476229127,9388
et_90d_mean_mm_day,93,-0.2907921097102612,9404
precipitation_30d_sum_mm,0,-0.3015082749665178,9497
precipitation_7d_sum_mm,0,-0.31771240796120037,9497
precipitation_14d_sum_mm,0,-0.3182190669205739,9497
