year,month,discharge_mean_m3_s,discharge_median_m3_s,observation_days
2016,1,6048.600423179183,6053.208221441008,31
2016,2,6116.012996076761,6125.848410073657,29
2016,3,6049.578094454696,6059.399344229397,31
2016,4,5856.77714581261,5840.939064192211,30
2016,5,5988.183822743718,5879.817248348714,31
2016,6,6564.208718210957,6501.333509718084,30
2016,7,7097.069895105952,6871.524425613277,31
2016,8,7305.54134536546,7171.865411896023,31
2016,9,6777.106854490359,6806.391848838567,30
2016,10,6598.293800750515,6562.449519736303,31
2016,11,6376.435577401775,6423.591182301081,30
2016,12,6056.395663243009,6054.019278257475,31
2017,1,6309.256354491413,6229.947810621877,31
2017,2,6165.853110737999,6152.199135963777,28
2017,3,6064.254043506127,6042.631697863561,31
2017,4,6003.1507293870045,5987.315350237832,30
2017,5,6488.5203299056975,6029.295724397462,31
2017,6,6720.150827621476,6795.45564107594,30
2017,7,7109.013036757724,6811.896791648815,31
2017,8,8396.369469001636,8221.423804133243,31
2017,9,7275.502484271225,6871.459578093094,30
2017,10,6380.437646832789,6482.083332941413,31
2017,11,6449.147459958845,6395.268963712518,30
2017,12,6238.0197537216145,6239.3659525479725,31
2018,1,6454.371198797054,6434.7402426828185,31
2018,2,6164.228526523085,6186.632009320127,28
2018,3,6231.821075340434,6175.839595974896,31
2018,4,6412.900205102513,6418.110174498084,30
2018,5,6047.767195252123,6067.630489784568,31
2018,6,6449.18388885084,6042.7049621593305,30
2018,7,7022.333391212531,6738.950005277058,31
2018,8,7606.708325422107,7598.310659604343,31
2018,9,8142.021958800458,8157.828502304878,30
2018,10,6981.966990942817,6945.783838546882,31
2018,11,6986.914748816759,6825.9012434887645,30
2018,12,6369.460928768864,6317.427017638927,31
2019,1,6098.975808441185,6105.912132225658,31
2019,2,6106.427811697368,6122.773172484094,28
2019,3,5960.2843955497865,5940.234987727483,31
2019,4,5920.6876216160845,5930.072554878752,30
2019,5,6493.444592901769,6384.138883996861,31
2019,6,7365.560093573387,6978.383733996838,30
2019,7,7997.499825051453,7920.394599199092,31
2019,8,9621.86955087655,9883.249075904334,31
2019,9,8707.85847129514,8717.764795111289,30
2019,10,7656.481830902539,7650.370252071652,31
2019,11,6880.731089121798,6990.5646070791045,30
2019,12,6126.951243201675,6030.492748074628,31
2020,1,6163.228520111354,6226.757977987269,31
2020,2,6119.235466440345,6090.320111938613,29
2020,3,6097.147188421965,6125.661755061683,31
2020,4,6104.326077134816,6097.081696370582,30
2020,5,5934.2772868642,5933.081950940584,31
2020,6,6748.016833752491,6673.719160301818,30
2020,7,7202.153342188592,6782.693961510472,31
2020,8,7857.629073129551,8054.057990544052,31
2020,9,7810.647082214878,7569.458023023127,30
2020,10,6929.780109555623,6952.419533392997,31
2020,11,6553.241508582662,6530.492126849304,30
2020,12,5945.102759503773,5915.825527198061,31
2021,1,5976.5663982428405,5947.218404388652,31
2021,2,6227.106555995565,6252.998509847263,28
2021,3,6465.898186160478,6450.301788170508,31
2021,4,6100.374588559016,6024.926789689845,30
2021,5,5795.584849535035,5789.62687810394,31
2021,6,6912.817001608445,6703.692246617305,30
2021,7,7205.683745897755,6984.393608927574,31
2021,8,7353.075104016287,7496.0316864860115,31
2021,9,7378.887980064553,7222.976962226501,30
2021,10,6899.711976139397,6855.511899998583,31
2021,11,6796.260154503998,6723.390556213202,30
2021,12,6637.848748441497,6651.091341095841,31
2022,1,6821.894249244514,6693.408521893259,31
2022,2,6758.051976193293,6805.256102219424,28
2022,3,6769.304293266266,6695.957715576117,31
2022,4,6287.341521291208,6302.151890441975,30
2022,5,6367.126356174791,6296.006840732837,31
2022,6,7652.121120656558,7791.693491140988,30
2022,7,7205.116787943888,7089.517071210442,31
2022,8,7455.6615725422635,7457.256685669356,31
2022,9,7653.298751564863,7565.908634644822,30
2022,10,7384.345663761481,7313.462865957399,31
2022,11,7268.670735123771,7243.548121354041,30
2022,12,7022.334587919234,7044.832732256121,31
2023,1,7432.071074551513,7456.826919332406,31
2023,2,7582.136496326278,7586.346869691633,28
2023,3,7097.12367202492,7070.79066431156,31
2023,4,6515.362799847206,6485.9573157206405,30
2023,5,6606.05471153445,6571.119077611417,31
2023,6,7896.343946736174,7815.521751586997,30
2023,7,7623.182214062955,7531.55949701392,31
2023,8,7804.681990714251,8101.328521274866,31
2023,9,6687.13590607347,6653.653690928378,30
2023,10,6774.713165855019,6706.963046277505,31
2023,11,6576.648414204678,6590.979665613764,30
2023,12,6937.567494101261,6891.2735377110375,31
2024,1,6762.224665342507,6772.9182462477,31
2024,2,6651.364166263187,6662.638492173465,29
2024,3,6720.678906307241,6669.595199970858,31
2024,4,6899.768022924139,6925.528499023937,30
2024,5,6906.373458512898,6881.856273839674,31
2024,6,8187.1826036522,8203.41353975113,30
2024,7,8384.179581442619,8133.847289462746,31
2024,8,7718.399711693663,7660.910444978516,31
2024,9,7887.724316627631,7882.635510900984,30
2024,10,6957.450338521982,7075.84332774812,31
2024,11,6523.930450002034,6431.930772636895,30
2024,12,6656.7202400677525,6601.807207111539,31
2025,1,6735.807741567689,6756.912272321668,31
2025,2,6587.486364569014,6535.376734110046,28
2025,3,6424.1887335996635,6383.136564770472,31
2025,4,6343.794488197183,6336.027393282321,30
2025,5,6248.566320335806,6241.295332213041,31
2025,6,6192.403181138841,6170.971638613015,30
2025,7,6857.615801339528,6938.432620737286,31
2025,8,7295.823915346325,7077.426531310567,31
2025,9,6672.518088099847,6595.747536800845,30
2025,10,6864.785160391475,6858.610063906164,31
2025,11,6819.420242726269,6837.882914843443,30
2025,12,6178.054665709711,6085.028054902528,31
