year_month,discharge_mean_m3_s,flood_pixel_count,observation_days,year
2016-01-01,5715.5041355730955,135496.0,31,2016
2016-02-01,5783.484939437209,60259.0,29,2016
2016-03-01,5720.629193682026,5972.0,31,2016
2016-04-01,5682.774775417247,4700.0,30,2016
2016-05-01,5633.528113090025,41591.0,31,2016
2016-06-01,5558.91967848837,8986.0,30,2016
2016-07-01,5413.3507267814175,12539.0,31,2016
2016-08-01,5571.051037635926,68388.0,31,2016
2016-09-01,5468.288577097384,17248.0,30,2016
2016-10-01,5554.533388917351,31795.0,31,2016
2016-11-01,5604.522289874895,52867.0,30,2016
2016-12-01,5768.604786552114,168461.0,31,2016
2017-01-01,5727.236270563617,176860.0,31,2017
2017-02-01,5762.510130402944,27043.0,28,2017
2017-03-01,5775.2517721711,8796.0,31,2017
2017-04-01,5692.246997077952,3211.0,30,2017
2017-05-01,5421.112141017317,9564.0,31,2017
2017-06-01,5169.772870715229,2244.0,30,2017
2017-07-01,5574.415261428996,2387.0,31,2017
2017-08-01,5463.209943738825,3044.0,31,2017
2017-09-01,5261.310515264405,54486.0,30,2017
2017-10-01,5253.294283018709,51309.0,31,2017
2017-11-01,5265.035212964348,40180.0,30,2017
2017-12-01,5539.767295768964,93733.0,31,2017
2018-01-01,5718.012331694539,194201.0,31,2018
2018-02-01,5745.071676748302,56775.0,28,2018
2018-03-01,5694.220797407562,12736.0,31,2018
2018-04-01,5700.117543306543,10591.0,30,2018
2018-05-01,5553.915360815423,19579.0,31,2018
2018-06-01,5323.1329336226645,7199.0,30,2018
2018-07-01,5418.537176027824,6816.0,31,2018
2018-08-01,5396.635708771805,9975.0,31,2018
2018-09-01,5570.30023875948,12942.0,30,2018
2018-10-01,5626.967958045698,16347.0,31,2018
2018-11-01,5673.834770616912,31210.0,30,2018
2018-12-01,5814.494736446762,94617.0,31,2018
2019-01-01,5909.895590416835,58815.0,31,2019
2019-02-01,5875.437079652383,12401.0,28,2019
2019-03-01,5903.643876189891,8278.0,31,2019
2019-04-01,5874.59477690792,3548.0,30,2019
2019-05-01,5392.350273870971,4872.0,31,2019
2019-06-01,5285.612032822517,10316.0,30,2019
2019-07-01,5621.098419784266,2314.0,31,2019
2019-08-01,5739.621412462001,1656.0,31,2019
2019-09-01,5846.52455388669,5917.0,30,2019
2019-10-01,5707.5325608020175,35011.0,31,2019
2019-11-01,5690.470930445655,137324.0,30,2019
2019-12-01,5661.560956698196,192065.0,31,2019
2020-01-01,5790.099587300796,681779.0,31,2020
2020-02-01,5791.934407341324,581318.0,29,2020
2020-03-01,5799.5313357577415,145389.0,31,2020
2020-04-01,5779.625564926181,8827.0,30,2020
2020-05-01,5469.683719263995,11716.0,31,2020
2020-06-01,5260.9057957197465,9096.0,30,2020
2020-07-01,5160.30052803092,3323.0,31,2020
2020-08-01,5429.028585406185,5235.0,31,2020
2020-09-01,5528.411320077285,42129.0,30,2020
2020-10-01,5490.898381292419,105988.0,31,2020
2020-11-01,5453.112996590626,354068.0,30,2020
2020-12-01,5565.323140603741,537327.0,31,2020
2021-01-01,5248.054336017217,788769.0,31,2021
2021-02-01,4960.042713067182,583330.0,28,2021
2021-03-01,5071.410001609044,174574.0,31,2021
2021-04-01,5493.379639990077,45634.0,30,2021
2021-05-01,5141.125049879891,35075.0,31,2021
2021-06-01,5371.71636244451,9831.0,30,2021
2021-07-01,5656.272428216513,10420.0,31,2021
2021-08-01,5465.4517220808875,81452.0,31,2021
2021-09-01,5245.328125167726,63445.0,30,2021
2021-10-01,4581.227441047598,370326.0,31,2021
2021-11-01,4157.665144800214,633514.0,30,2021
2021-12-01,3902.516247877565,802073.0,31,2021
2022-01-01,4205.437585609321,1031733.0,31,2022
2022-02-01,4290.776727325142,1215389.0,28,2022
2022-03-01,5186.029832658686,646696.0,31,2022
2022-04-01,5293.2071286892715,150734.0,30,2022
2022-05-01,5012.90769228445,164996.0,31,2022
2022-06-01,5009.089137135055,130323.0,30,2022
2022-07-01,4924.286055562928,93107.0,31,2022
2022-08-01,4709.239788374621,136042.0,31,2022
2022-09-01,4237.184150655896,287229.0,30,2022
2022-10-01,3646.8209516383336,606222.0,31,2022
2022-11-01,3349.298504686083,1679176.0,30,2022
2022-12-01,3272.4438986997166,2221216.0,31,2022
2023-01-01,2740.279813976123,2247969.0,31,2023
