year_month,discharge_mean_m3_s,flood_pixel_count,observation_days
2000-01-01,5715.227231739286,0.0,31
2000-02-01,5623.551684610617,1167.0,29
2000-03-01,5612.36151853528,717.0,31
2000-04-01,5665.731164646085,523.0,30
2000-05-01,5210.495530327951,265.0,31
2000-06-01,5404.964426676349,118.0,30
2000-07-01,5266.186464720805,190.0,31
2000-08-01,5407.589191363408,129.0,31
2000-09-01,5382.191721302422,485.0,30
2000-10-01,5546.9912501318995,589.0,31
2000-11-01,5538.16975824999,754.0,30
2000-12-01,5625.000560785612,6254.0,31
2001-01-01,5707.073583831236,7477.0,31
2001-02-01,5667.330633465781,1098.0,28
2001-03-01,5725.897320370287,241.0,31
2001-04-01,5673.312458480033,116.0,30
2001-05-01,5481.931555365091,67.0,31
2001-06-01,5194.113608109617,33.0,30
2001-07-01,5575.622867891253,119.0,31
2001-08-01,5479.005666102052,648.0,31
2001-09-01,5648.684723057687,2477.0,30
2001-10-01,5420.276493387099,2972.0,31
2001-11-01,5557.3415550407835,4750.0,30
2001-12-01,5691.640454779398,3847.0,31
2002-01-01,5694.7380344608555,4654.0,31
2002-02-01,5612.709402163912,4817.0,28
2002-03-01,5786.234306149278,505.0,31
2002-04-01,5716.203029074652,51.0,30
2002-05-01,5698.627445279867,1387.0,31
2002-06-01,5146.480176978133,1064.0,30
2002-07-01,5320.199954995454,1146.0,31
2002-08-01,5245.855860329741,4305.0,31
2002-09-01,5561.282147227108,6352.0,30
2002-10-01,5436.711818858366,9406.0,31
2002-11-01,5439.975566585886,16447.0,30
2002-12-01,5496.108687718871,65770.0,31
2003-01-01,5587.805675662233,94317.0,31
2003-02-01,5677.021019310689,20584.0,28
2003-03-01,5655.908919430579,3799.0,31
2003-04-01,5586.519850391904,4930.0,30
2003-05-01,5724.793811382021,9235.0,31
2003-06-01,5248.181067716015,8107.0,30
2003-07-01,5546.965610034573,4766.0,31
2003-08-01,5643.926968024708,5983.0,31
2003-09-01,5531.245512088181,27868.0,30
2003-10-01,5465.726728590574,31609.0,31
2003-11-01,5408.398234069001,47833.0,30
2003-12-01,5464.631659875857,61521.0,31
2004-01-01,5593.544233982388,47742.0,31
2004-02-01,5621.550736746944,28125.0,29
2004-03-01,5594.396604903665,10366.0,31
2004-04-01,5422.691240277736,3700.0,30
2004-05-01,5317.911897524538,5211.0,31
2004-06-01,5290.088144732767,4537.0,30
2004-07-01,5212.779301541576,5190.0,31
2004-08-01,5062.196300867019,2236.0,31
2004-09-01,5444.402792146968,3373.0,30
2004-10-01,5552.462101188216,6878.0,31
2004-11-01,5468.654243083899,18094.0,30
2004-12-01,5422.7879578584025,43159.0,31
2005-01-01,5523.885604153496,66507.0,31
2005-02-01,5428.854985826792,21968.0,28
2005-03-01,5592.720805875066,8859.0,31
2005-04-01,5628.893354534905,1817.0,30
2005-05-01,5503.735978725804,11024.0,31
2005-06-01,5382.98985157033,17512.0,30
2005-07-01,5513.87886873923,13577.0,31
2005-08-01,5558.728171509467,14765.0,31
2005-09-01,5409.065033000878,13956.0,30
2005-10-01,5629.406366131506,25644.0,31
2005-11-01,5503.553886405378,58711.0,30
2005-12-01,5680.414592117386,105804.0,31
2006-01-01,5761.152958433177,50931.0,31
2006-02-01,5749.825977576015,22595.0,28
2006-03-01,5709.372877510108,6098.0,31
2006-04-01,5741.850227687244,3725.0,30
2006-05-01,5520.3302286446815,20785.0,31
2006-06-01,5340.463281284072,6309.0,30
2006-07-01,5370.06417679405,8735.0,31
2006-08-01,5520.462854252805,10263.0,31
2006-09-01,5523.345902563746,11151.0,30
2006-10-01,5523.879337791025,43008.0,31
2006-11-01,5672.099346940737,154529.0,30
2006-12-01,5574.057467115533,352909.0,31
2007-01-01,5672.778550618877,432752.0,31
