stage,target,model,lead,folds_beating_best_baseline,median_skill_vs_best_baseline,pooled_skill_vs_best_baseline,fold6_skill_2020_21_crisis,median_f1_gain_vs_best_baseline
stage1_volume,anomaly,elasticnet,1,2/8,-0.13410426348145466,-0.41310346893261474,-0.151325734351609,
stage1_volume,anomaly,elasticnet,3,3/8,-0.2639613585660132,-0.4216591844908961,0.04019109890577577,
stage1_volume,anomaly,elasticnet,6,2/8,-0.2359380987451114,-0.20840088394850986,0.12477799329409067,
stage1_volume,anomaly,elasticnet,9,2/8,-0.35401301458463685,-0.3527419461938077,0.07171112463494211,
stage1_volume,anomaly,elasticnet,18,0/8,-0.9807994369311518,-0.6162935854354681,-0.005514955079516826,
stage1_volume,anomaly,elasticnet,27,0/8,-0.5586902317831061,-0.8142414673943539,-0.04255376914209785,
stage1_volume,anomaly,elasticnet,36,0/8,-0.23909212983609684,-0.29694046516147,-0.23044191437646133,
stage1_volume,anomaly,gbt,1,1/8,-0.3069728065870234,-0.741530471207918,-0.425360227124681,
stage1_volume,anomaly,gbt,3,2/8,-0.3685597224278585,-0.5942209552265281,0.05848740082843473,
stage1_volume,anomaly,gbt,6,1/8,-0.3359356661582108,-0.43999801600425803,0.22427532014428775,
stage1_volume,anomaly,gbt,9,2/8,-0.13481598462725397,-0.215132227470348,0.13331491585970512,
stage1_volume,anomaly,gbt,18,0/8,-1.0800476083891812,-1.3497316131137929,-0.04384898295541695,
stage1_volume,anomaly,gbt,27,1/8,-0.43724432171054906,-0.7149009884553621,0.07965423537754712,
stage1_volume,anomaly,gbt,36,1/8,-0.5990484999527389,-1.1587958406715653,-0.10580146031037407,
stage1_volume,change,elasticnet,1,3/8,-0.1271387440001278,-0.4688930385501837,-0.3159883627441038,
stage1_volume,change,elasticnet,3,1/8,-0.1787522295718763,-0.3958817632177809,-0.16287509057726535,
stage1_volume,change,elasticnet,6,1/8,-0.23445398367649117,-0.0705311873765373,-0.021559672768558524,
stage1_volume,change,elasticnet,9,2/8,-0.3377478919917235,0.04999230446871972,-0.09912050330428857,
stage1_volume,change,elasticnet,18,2/8,-0.17634893107079586,0.18287652811518473,-0.06680381881858999,
stage1_volume,change,elasticnet,27,1/8,-0.1507268639742111,-0.022867084280466576,-0.060582049660966586,
stage1_volume,change,elasticnet,36,0/8,-0.23909212983609684,-0.29694046516147,-0.23044191437646133,
stage1_volume,change,gbt,1,2/8,-0.1142664131515394,-0.677456807773078,-0.5149573721912535,
stage1_volume,change,gbt,3,2/8,-0.070858324905831,-0.2890478086046042,0.06106693202203839,
stage1_volume,change,gbt,6,3/8,-0.16474867549883399,-0.18279137186292238,0.16059477727438431,
stage1_volume,change,gbt,9,5/8,0.013791633562426853,0.015953008076399433,0.0468323992357802,
stage1_volume,change,gbt,18,1/8,-0.18578703595778,-0.13952235284694448,-0.08868212674669329,
stage1_volume,change,gbt,27,2/8,-0.12867721411598987,-0.05853674783389984,0.04853010679427583,
stage1_volume,change,gbt,36,1/8,-0.5990484999527389,-1.1587958406715653,-0.10580146031037407,
stage1_volume,change,transformer,1,0/8,-0.2370413153482701,-0.3536729201190596,-0.7421226355189305,
stage1_volume,change,transformer,3,2/8,-0.33999825704103825,-0.4896434228468334,0.04359493107571799,
stage1_volume,change,transformer,6,1/8,-0.4773474215190463,-0.36018751949083616,-0.4673183640986891,
stage1_volume,change,transformer,9,2/8,-0.5212105436624451,-0.20600127774343346,0.2929646031225136,
stage1_volume,change,transformer,18,3/8,-0.5187233080595204,-0.006597699680560787,0.08776241744128177,
stage1_volume,change,transformer,27,1/8,-0.9250817727077953,-1.3812076199920709,-0.5739607521596839,
stage1_volume,change,transformer,36,1/8,-1.270045995963772,-0.8355638113686714,-0.6769731659313096,
stage1_volume,level,elasticnet,1,0/8,-0.7918063291135611,-1.171650832252657,-0.9723825158943682,
stage1_volume,level,elasticnet,3,0/8,-0.21698278378083524,-0.4062449548007374,-0.29987511596602845,
stage1_volume,level,elasticnet,6,0/8,-0.3510042761621579,-0.4134221898379118,-0.053470104633349,
stage1_volume,level,elasticnet,9,1/8,-0.3106072287693157,-0.46116380710958604,-0.149350026113783,
stage1_volume,level,elasticnet,18,1/8,-0.20303958193239946,-0.003880418317748102,-0.15498261971755922,
stage1_volume,level,elasticnet,27,1/8,-0.16541070264244617,-0.15180904356042801,-0.14051460488399403,
stage1_volume,level,elasticnet,36,0/8,-0.38419132376440235,-0.9870821042648696,-0.450055372830485,
stage1_volume,level,gbt,1,2/8,-0.4303515488499421,-1.02679543871543,-1.3443862840980505,
stage1_volume,level,gbt,3,2/8,-0.2685140747884278,-0.6087972317568406,-0.33064209322699756,
stage1_volume,level,gbt,6,2/8,-0.22198357614783626,-0.3238261630173187,-0.12371449192956274,
stage1_volume,level,gbt,9,2/8,-0.20626521933199427,-0.13606163175010466,-0.11851623746124917,
stage1_volume,level,gbt,18,1/8,-0.19908733104232657,0.14228790082574005,-0.10170654182426442,
stage1_volume,level,gbt,27,1/8,-0.18381149994352997,-0.0501701520593949,-0.13436258939424617,
stage1_volume,level,gbt,36,2/8,-0.335553610458033,-0.7981146539449464,-0.41747329095296015,
stage2_pixel,binary,convlstm,3,"3/4 (F1), 4/4 (PR-AUC)",,,,0.0034166905649302137
stage2_pixel,binary,convlstm,6,"4/4 (F1), 3/4 (PR-AUC)",,,,0.033824078538769564
stage2_pixel,binary,convlstm-calibrated,3,"3/4 (F1), 4/4 (PR-AUC)",,,,0.003416647432377795
stage2_pixel,binary,convlstm-calibrated,6,"4/4 (F1), 3/4 (PR-AUC)",,,,0.033823783267338536
stage2_pixel,binary,convlstm_no-era5,3,"1/1 (F1), 1/1 (PR-AUC)",,,,0.0026854510998137737
stage2_pixel,binary,convlstm_no-stage1,3,"1/1 (F1), 1/1 (PR-AUC)",,,,0.018388697835062584
