model,target,lead,fold,test_years,n_test,n_train,mae,rmse,mae_log,skill_vs_persistence,skill_vs_climatology,note,best_baseline_mae,skill_vs_best_baseline,best_of_three_mae,skill_vs_best_of_three
gbt,change,1,1,2010-2011,72,334,1855.4253152576505,3667.643540938458,0.9474434881614,0.0494814991742799,0.0810387465303738,,1952.013888888889,0.04948149917427991,1777.5522509389266,-0.04380915625832671
persistence,change,1,1,2010-2011,72,334,1952.013888888889,4091.658603182822,0.9144775249800492,0.0,0.0332000348532721,,1952.013888888889,0.0,1777.5522509389266,-0.09814712217759536
climatology,change,1,1,2010-2011,72,334,2019.046296296296,3828.071840521468,1.088187713520391,-0.034340128310031,0.0,,1952.013888888889,-0.03434012831003108,1777.5522509389266,-0.13585763525646533
elasticnet,change,1,1,2010-2011,72,334,1804.5610825783767,3775.954495612694,0.8910926053767777,0.0755388100206826,0.1062309537484934,,1952.013888888889,0.07553881002068286,1777.5522509389266,-0.015194395340662359
transformer,change,1,1,2010-2011,72,334,2106.833969487251,4266.674462093477,0.953527758881692,-0.0793130015516887,-0.0434797722825828,seeded + op determinism ON,1952.013888888889,-0.07931300155168874,1777.5522509389266,-0.1852444665828492
gbt,change,1,2,2012-2013,72,406,1520.036859869111,3047.646289772245,0.7156470391873072,-0.0627873594159471,0.2114287182383238,,1430.236111111111,-0.06278735941594715,1242.1000155290865,-0.2237636590171317
persistence,change,1,2,2012-2013,72,406,1430.236111111111,2587.0008670487746,0.7671261048337715,0.0,0.2580159382070237,,1430.236111111111,0.0,1242.1000155290865,-0.15146614059245933
climatology,change,1,2,2012-2013,72,406,1927.5833333333333,3535.251668098828,0.902748145298343,-0.3477378443730152,0.0,,1430.236111111111,-0.34773784437301525,1242.1000155290865,-0.5518744941905966
elasticnet,change,1,2,2012-2013,72,406,1377.505065343354,2579.401288644841,0.7583913024253637,0.0368687696794284,0.2853719776870758,,1430.236111111111,0.036868769679428426,1242.1000155290865,-0.10901300066129571
transformer,change,1,2,2012-2013,72,406,2097.1056854172616,4431.173414440809,0.802182498469551,-0.4662653733362094,-0.0879455373743953,seeded + op determinism ON,1430.236111111111,-0.46626537333620943,1242.1000155290865,-0.6883549305198067
gbt,change,1,3,2014-2015,72,478,3107.6410332080222,5196.968626334278,0.7349442165778426,-0.1391646016158438,0.3909140290360731,,2728.0,-0.13916460161584387,2728.0,-0.13916460161584387
persistence,change,1,3,2014-2015,72,478,2728.0,4703.638287420588,0.651210944922776,0.0,0.4653222457053431,,2728.0,0.0,2728.0,0.0
climatology,change,1,3,2014-2015,72,478,5102.138583638584,9741.75313957544,0.8645987292831758,-0.8702854045595985,0.0,,2728.0,-0.8702854045595985,2728.0,-0.8702854045595985
elasticnet,change,1,3,2014-2015,72,478,2913.399679685535,4680.85151190493,0.6528576700622479,-0.0679617594155186,0.4289846048031398,,2728.0,-0.06796175941551863,2728.0,-0.06796175941551863
transformer,change,1,3,2014-2015,72,478,3221.755161281313,5804.610684251168,0.6665376321898345,-0.1809952937248216,0.3685480885186536,seeded + op determinism ON,2728.0,-0.1809952937248216,2728.0,-0.1809952937248216
gbt,change,1,4,2016-2017,72,550,1965.1949343944332,3319.467490546548,0.669565113021656,0.1356450847201313,-0.0893682246872349,,1803.9767361111108,-0.08936822468723493,1803.9767361111108,-0.08936822468723493
persistence,change,1,4,2016-2017,72,550,2273.597222222222,3678.7904998336976,0.708581472097401,0.0,-0.2603251343049395,,1803.9767361111108,-0.26032513430493953,1803.9767361111108,-0.26032513430493953
climatology,change,1,4,2016-2017,72,550,1803.9767361111108,3125.201491121265,0.6673952653506413,0.2065539496270595,0.0,,1803.9767361111108,0.0,1803.9767361111108,0.0
elasticnet,change,1,4,2016-2017,72,550,2140.085976049568,3448.4417739894493,0.6942630813624872,0.0587224706591433,-0.1863157285847367,,1803.9767361111108,-0.186315728584737,1803.9767361111108,-0.186315728584737
transformer,change,1,4,2016-2017,72,550,2205.786538572037,3845.715322615441,0.7508180043352077,0.0298252843500164,-0.222735578800822,seeded + op determinism ON,1803.9767361111108,-0.22273557880082206,1803.9767361111108,-0.22273557880082206
gbt,change,1,5,2018-2019,72,622,1312.2672281701357,2321.316931104791,0.6399573036287945,0.0325981096148161,0.2287515308986145,,1356.486111111111,0.03259810961481591,1356.486111111111,0.03259810961481591
persistence,change,1,5,2018-2019,72,622,1356.486111111111,2325.894299332338,0.738949978030421,0.0,0.2027631155503503,,1356.486111111111,0.0,1356.486111111111,0.0
climatology,change,1,5,2018-2019,72,622,1701.4843863471317,2890.4441943506167,0.7941559104781529,-0.2543323314629657,0.0,,1356.486111111111,-0.25433233146296574,1356.486111111111,-0.25433233146296574
elasticnet,change,1,5,2018-2019,72,622,1350.6415361973352,2235.3218381645183,0.7141130733395797,0.0043086139002105,0.2061981014724506,,1356.486111111111,0.004308613900210534,1356.486111111111,0.004308613900210534
transformer,change,1,5,2018-2019,72,622,1403.346740039323,2476.631198144618,0.7306824663170226,-0.0345456017163554,0.1752220876665647,seeded + op determinism ON,1356.486111111111,-0.034545601716355234,1356.486111111111,-0.034545601716355234
gbt,change,1,6,2020-2021,72,694,8458.869693002933,13344.693379404544,1.0696483176505565,-0.5149573721912535,0.3689031797525077,,5583.569444444444,-0.5149573721912535,5583.569444444444,-0.5149573721912535
persistence,change,1,6,2020-2021,72,694,5583.569444444444,8947.20606219866,0.8973389084702558,0.0,0.5834227207761854,,5583.569444444444,0.0,5583.569444444444,0.0
climatology,change,1,6,2020-2021,72,694,13403.44210526316,20352.696412122663,1.517867105404747,-1.4005149821498777,0.0,,5583.569444444444,-1.4005149821498781,5583.569444444444,-1.4005149821498781
elasticnet,change,1,6,2020-2021,72,694,7347.912411462449,11169.35879404994,0.9347658944324202,-0.3159883627441038,0.4517891483578589,,5583.569444444444,-0.3159883627441038,5583.569444444444,-0.3159883627441038
transformer,change,1,6,2020-2021,72,694,9727.262716158526,15064.731230657511,1.0134580897258043,-0.7421226355189305,0.2742712924213026,seeded + op determinism ON,5583.569444444444,-0.7421226355189305,5583.569444444444,-0.7421226355189305
gbt,change,1,7,2022-2023,72,766,28336.37791567346,34252.448153798505,0.9024420759390864,-1.1431279267134138,0.4132780651286996,,13221.972222222224,-1.1431279267134133,13221.972222222224,-1.1431279267134133
persistence,change,1,7,2022-2023,72,766,13221.972222222224,18182.13712227837,0.409639158875169,0.0,0.7262310254287686,,13221.972222222224,0.0,13221.972222222224,0.0
climatology,change,1,7,2022-2023,72,766,48296.094336219336,55631.66653799383,2.7995718591763774,-2.652714854070552,0.0,,13221.972222222224,-2.652714854070551,13221.972222222224,-2.652714854070551
elasticnet,change,1,7,2022-2023,72,766,23768.58259746909,28478.537222034476,0.6414141386809485,-0.7976578832559589,0.5078570446711257,,13221.972222222224,-0.7976578832559587,13221.972222222224,-0.7976578832559587
transformer,change,1,7,2022-2023,72,766,18170.63484311154,22951.647580331955,0.4992727426804158,-0.3742756782208392,0.6237659567952973,seeded + op determinism ON,13221.972222222224,-0.37427567822083896,13221.972222222224,-0.37427567822083896
gbt,change,1,8,2024-2025,72,838,15731.893546687344,21585.011340380617,0.3467750620732909,-0.7371843862421803,0.6044117170594183,,9055.972222222224,-0.7371843862421799,9055.972222222224,-0.7371843862421799
persistence,change,1,8,2024-2025,72,838,9055.972222222224,11837.72660465964,0.2340714340119061,0.0,0.772281925814274,,9055.972222222224,0.0,9055.972222222224,0.0
climatology,change,1,8,2024-2025,72,838,39768.35064412238,44433.40794768025,1.8425425516014589,-3.3913949455957724,0.0,,9055.972222222224,-3.3913949455957715,9055.972222222224,-3.3913949455957715
elasticnet,change,1,8,2024-2025,72,838,13840.581009754927,17519.457187910306,0.3420036931006989,-0.5283373965957927,0.6519699513411801,,9055.972222222224,-0.5283373965957925,9055.972222222224,-0.5283373965957925
