model,lead,fold,test_years,group,n_cells,n_flooded,base_rate,precision,recall,f1,csi,pr_auc,brier,threshold
convlstm-calibrated,3,5,2018-2019,all,59601600,166719,0.002797223564468,0.2825289142395129,0.2682837588997055,0.2752221319746978,0.1595696101375649,0.170053580807289,0.0025324106143471,0.0336624873935903
convlstm-calibrated,3,5,2018-2019,unusual,59217768,121706,0.0020552277485365,0.2072674325063551,0.2116986837132105,0.2094596242490264,0.1169812348750732,0.1331878370663373,0.0018942974440657,0.0336624873935903
convlstm-calibrated,3,5,2018-2019,recurring,383832,45013,0.1172726609558348,0.5576532862814292,0.4212782973807566,0.4799665898909109,0.3157605528265756,0.4491449758564745,0.1009807882260902,0.0336624873935903
convlstm-calibrated,3,6,2020-2021,all,59601600,935811,0.0157011053394539,0.4157728246649358,0.5484622429101603,0.472987767454462,0.309747202657302,0.3510963006112713,0.012998646164868,0.0130190177773829
convlstm-calibrated,3,6,2020-2021,unusual,59217768,850848,0.0143681200547781,0.4023736994949046,0.5321796607619692,0.4582618992197066,0.2972371889802649,0.3351790900987078,0.0119645246143444,0.0130190177773829
convlstm-calibrated,3,6,2020-2021,recurring,383832,84963,0.2213546551616332,0.5539387719571532,0.7115214858232407,0.6229185557662188,0.4523469242683867,0.604808287851919,0.1725433690194013,0.0130190177773829
convlstm-calibrated,3,7,2022-2023,all,59601600,2910067,0.0488253167700196,0.6913549479184915,0.7797779226388946,0.7329090877967342,0.5784187075592896,0.6807838607880824,0.0239226176322434,0.1958881273202327
convlstm-calibrated,3,7,2022-2023,unusual,59217768,2835830,0.0478881608641514,0.6957894336942635,0.7814632753021161,0.736142010725744,0.5824562703824488,0.6849976272885456,0.0233629480543529,0.1958881273202327
convlstm-calibrated,3,7,2022-2023,recurring,383832,74237,0.1934101377686071,0.5461192003948667,0.7153979821382869,0.6194011138000409,0.4486466851388795,0.5808864940152108,0.1102686836720282,0.1958881273202327
convlstm-calibrated,3,8,2024-2025,all,59601600,2645133,0.0443802347587984,0.7501997469435443,0.7578567882976017,0.7540088286005736,0.6051478099589692,0.7458862421411305,0.0174946494883426,0.5256374512033715
