adm1_name,adm2_name,total_flooded_pixel_count
Unity,Rubkona,15291191.0
Jonglei,Ayod,4804988.0
Unity,Guit,4574135.0
Upper Nile,Baliet,3922253.0
Unity,Mayom,3382189.0
Jonglei,Fangak,3121993.0
Warrap,Tonj North,2534628.0
Unity,Pariang,2467075.0
Jonglei,Duk,2235789.0
Jonglei,Twic East,1556007.0
Unity,Mayendit,1414226.0
Upper Nile,Ulang,1055836.0
Unity,Panyijiar,977948.0
Jonglei,Bor South,869260.0
Upper Nile,Luakpiny/Nasir,860157.0
Warrap,Gogrial West,806640.0
Jonglei,Canal/Pigi,712053.0
Eastern Equatoria,Kapoeta East,697620.0
Upper Nile,Panyikang,684523.0
Warrap,Twic,623603.0
Jonglei,Pibor,613919.0
Warrap,Gogrial East,597157.0
Lakes,Yirol East,551414.0
Northern Bahr el Ghazal,Aweil East,464121.0
Northern Bahr el Ghazal,Aweil South,378523.0
