feature,lag_days,correlation,n,abs_correlation
precipitation_mm_day__bahr_el_jebel_south__30d_sum,0,-0.30818516544965224,9497,0.30818516544965224
precipitation_mm_day__ssd_flood_tile_overlap__30d_sum,0,-0.30752773377311327,9497,0.30752773377311327
precipitation_mm_day__ssd_full__30d_sum,0,-0.30592182136642987,9497,0.30592182136642987
precipitation_mm_day__ssd_flood_tile_overlap__30d_sum,1,-0.3034613346890702,9496,0.3034613346890702
precipitation_mm_day__bahr_el_jebel_south__30d_sum,1,-0.3027550715088235,9496,0.3027550715088235
precipitation_mm_day__ssd_full__30d_sum,1,-0.30190604166501905,9496,0.30190604166501905
precipitation_mm_day__ssd_flood_tile_overlap__30d_sum,2,-0.29901166423663256,9495,0.29901166423663256
reference_et_mm_day__sobat_pibor_east__30d_mean,128,-0.29753456613414364,9369,0.29753456613414364
precipitation_mm_day__ssd_full__30d_sum,2,-0.2975080844070612,9495,0.2975080844070612
reference_et_mm_day__sobat_pibor_east__30d_mean,127,-0.29750519555199034,9370,0.29750519555199034
reference_et_mm_day__sobat_pibor_east__30d_mean,126,-0.29749916856765773,9371,0.29749916856765773
reference_et_mm_day__sobat_pibor_east__30d_mean,129,-0.2973304851386046,9368,0.2973304851386046
reference_et_mm_day__sobat_pibor_east__30d_mean,125,-0.2972903986606642,9372,0.2972903986606642
precipitation_mm_day__western_floodplain__30d_sum,0,-0.2972313666235658,9497,0.2972313666235658
reference_et_mm_day__sobat_pibor_east__30d_mean,124,-0.2971585725709163,9373,0.2971585725709163
reference_et_mm_day__sobat_pibor_east__30d_mean,130,-0.29708037340185506,9367,0.29708037340185506
reference_et_mm_day__sobat_pibor_east__30d_mean,123,-0.2970259097505927,9374,0.2970259097505927
precipitation_mm_day__bahr_el_jebel_south__30d_sum,2,-0.2969969008738731,9495,0.2969969008738731
reference_et_mm_day__sobat_pibor_east__30d_mean,122,-0.29685810836147947,9375,0.29685810836147947
reference_et_mm_day__sobat_pibor_east__30d_mean,131,-0.29677824396177177,9366,0.29677824396177177
reference_et_mm_day__sobat_pibor_east__30d_mean,121,-0.2966397712208864,9376,0.2966397712208864
precipitation_mm_day__sobat_pibor_east__30d_sum,0,-0.29632840953936035,9497,0.29632840953936035
reference_et_mm_day__sobat_pibor_east__30d_mean,132,-0.296325368475357,9365,0.296325368475357
reference_et_mm_day__sobat_pibor_east__30d_mean,120,-0.29620382852632954,9377,0.29620382852632954
reference_et_mm_day__sobat_pibor_east__30d_mean,133,-0.29596793839561886,9364,0.29596793839561886
reference_et_mm_day__sobat_pibor_east__30d_mean,119,-0.295783259778352,9378,0.295783259778352
reference_et_mm_day__sobat_pibor_east__30d_mean,134,-0.2954466789421063,9363,0.2954466789421063
reference_et_mm_day__sobat_pibor_east__30d_mean,118,-0.2953162067708351,9379,0.2953162067708351
reference_et_mm_day__sobat_pibor_east__30d_mean,135,-0.2949309556704314,9362,0.2949309556704314
reference_et_mm_day__sobat_pibor_east__30d_mean,117,-0.2948461543185238,9380,0.2948461543185238
precipitation_mm_day__ssd_flood_tile_overlap__30d_sum,3,-0.2946877622262411,9494,0.2946877622262411
reference_et_mm_day__sobat_pibor_east__30d_mean,116,-0.2944048454541925,9381,0.2944048454541925
precipitation_mm_day__western_floodplain__30d_sum,1,-0.2943187134108418,9496,0.2943187134108418
reference_et_mm_day__sobat_pibor_east__30d_mean,136,-0.29425915074073056,9361,0.29425915074073056
reference_et_mm_day__sobat_pibor_east__30d_mean,115,-0.293769688075328,9382,0.293769688075328
reference_et_mm_day__sobat_pibor_east__30d_mean,137,-0.29349916160788203,9360,0.29349916160788203
precipitation_mm_day__ssd_full__30d_sum,3,-0.2932252535513953,9494,0.2932252535513953
reference_et_mm_day__sobat_pibor_east__30d_mean,114,-0.2930806293951878,9383,0.2930806293951878
runoff_mm_day__sobat_pibor_east__30d_sum,110,0.2927681061155315,9387,0.2927681061155315
runoff_mm_day__sobat_pibor_east__30d_sum,111,0.29272443633995393,9386,0.29272443633995393
