start_date,end_date,county,phase3plus_population,source_folder
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Abiemnhom,31339.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Abiemnhom,28544.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Abiemnhom,18344.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Abiemnhom,27000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Abiemnhom,24481.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Abyei region,0.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Abyei region,0.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Abyei region,73677.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Abyei region,0.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Akobo,135928.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Akobo,192930.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Akobo,59046.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Akobo,140000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Akobo,134611.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Akoka,13836.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Akoka,15000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Akoka,15105.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Aweil centre,34187.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Aweil centre,49475.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Aweil centre,31247.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Aweil centre,28000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Aweil centre,42662.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Aweil east,206931.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Aweil east,224600.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Aweil east,403520.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Aweil east,160000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Aweil east,209246.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Aweil north,92670.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Aweil north,101287.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Aweil north,162959.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Aweil north,104000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Aweil north,102990.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Aweil south,85168.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Aweil south,92440.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Aweil south,119905.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Aweil south,96000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Aweil south,85566.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Aweil west,112120.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Aweil west,112334.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Aweil west,175667.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Aweil west,106000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Aweil west,103036.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Awerial,69818.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Awerial,83941.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Awerial,72340.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Awerial,57000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Awerial,59396.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Ayod,164924.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Ayod,136076.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Ayod,68447.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Ayod,110000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Ayod,93244.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Baliet,34654.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Baliet,31826.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Baliet,17851.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Baliet,23000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Baliet,20032.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Bor south,220750.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Bor south,170130.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Bor south,24132.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Bor south,53000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Bor south,54543.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Budi,52393.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Budi,57741.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Budi,45663.0,raw_data/IPC
